"","Camper ID","Age","2021 > Grade","Gender","School","Years at camp","Sibling count","Lead source","Primary family city","Primary family state","Primary family country","Primary family zip","Do you have a copy of this year’s catalog?","2021 > trip code (ex. CAL 1, CAL 1A, CAL 1B, etc.) names (all)","2021 > trip + section names (all)","2021 > Enrolled sibling count","2021 > Status","2021 > First enrollment request date","2021 > First enrollment date","2021 > Unenrollment date","2021 > Is your child attending with a friend?","2021 ^Student Eval","2021 ^Expectations","2021 ^Trip Length","2021 ^^Interested in Another Trip?","2021 ^^^Future Trip?","2021 ^^^^Leader Rating of Student","2022 > Status","2022 > trip code (ex. CAL 1, CAL 1A, CAL 1B, etc.) names (all)"
"20","7237","16","9th","Male","Summit High School","1","0","Friend","Bend","OR",,"97702",,"FIJ 3B","FIJ 3",,"Enrolled","11-15-2021","07-14-2022","05-03-2022, 07-11-2022","No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes",,"5","Alumni",
"21","6658","14","7th","Male","Charlotte Country Day School","3","1","Friend","Charlotte","NC",,"28207",,"BCO 1B","British Columbia 1",,"Enrolled","08-12-2021","08-12-2021",,"Yes","5","Exceeded expectations","Just Right","Yes","BCR, MAU, FIJ, PNW, ICE","Off the Charts (Highest)","Enrolled","MAU 2C"
"22","9229","16","9th","Male","Loyola Academy","1","0","Friend","Winnetka","IL",,"60093",,"MID 3","MID3",,"Enrolled","12-10-2021","12-13-2021",,"No","5","Met expectations","Too Short","Yes","CHA, SAF","4","Alumni",
"23","1063","18","10th","Male","Hilton Head Preparatory School","4","0","I'm a Moondance Alumni","Hilton Head Island","SC",,"29928","Yes","KEZ 1B","Kenya + Zanzibar 1",,"Enrolled","08-17-2021","08-17-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","SAF, FIJ","Off the Charts (Highest)","Alumni",
"24","5774","18","11th","Female","Providence Day School","1","0","Friend","Charlotte","NC",,"28211",,"SLO 1B","Slovenia 1",,"Enrolled","08-17-2021","08-17-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Not Sure","KIL","Off the Charts (Highest)","Waitlist Only",
"25","9380","17","10th","Male","John B Alexander High School","1","0","Friend","Laredo","TX",,"78045",,"SPM 1B","Spain + Morocco 1",,"Enrolled","01-25-2022","01-25-2022",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Not Sure",,"3","Alumni",
"26","9225","17","9th","Male","Pace Academy","2","0","Friend","Atlanta","GA",,"30327",,"PNW 1A","Pacific Northwest 1",,"Enrolled","12-15-2021","12-15-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","NLT, MID","Off the Charts (Highest)","Enrolled","NLT 1B"
"27","8737","17","9th","Female","Holy Innocents Episcopal School","3","0","Friend","Atlanta","GA",,"30339",,"DOL 3B","Dolomites 3",,"Enrolled","09-10-2021","02-10-2022",,"No","5","Met expectations","Just Right","Yes","MYS; THA; FIJ","Off the Charts (Highest)","Enrolled","KIL 3"
"28","9121","18","11th","Male","Indian Springs School","1","0","Friend","Birmingham","AL",,"35222",,"CHA 4B","Chamonix 4",,"Enrolled","11-16-2021","11-16-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","No",,"3","Alumni",
"29","9334","17","10th","Male","Charlotte Catholic High School","1","0","Friend","Waxhaw","NC",,"28173",,"FIJ 1A","Fiji 1",,"Enrolled","01-17-2022","01-17-2022",,"No","Off the Charts (Highest)","Exceeded expectations","Too Short","Yes",,"Off the Charts (Highest)","Alumni",
"30","4553","19","11th","Male","St Andrews Episcopal","3","0","Friend","Austin","TX",,"78735-1470",,"KEZ 1A","Kenya + Zanzibar 1",,"Enrolled","08-12-2021","10-12-2021","10-12-2021","No","5","Met expectations","Just Right","Yes","KIL, THA, MYS","5","Alumni",
"31","8320","17","10th","Female","Fairhope High School","2","0","Advertisement","Fairhope","AL",,"36532",,"OLY 3","The Olympics 3",,"Enrolled","09-09-2021","11-01-2021",,"No",,,,,,"5","Enrolled","DOL 1A"
"32","3143","19","12th","Female","Academy of Richmond County","4","4","Friend","Augusta","GA",,"30909",,"MYS 1","Mystery Trip 1","2","Enrolled","08-12-2021","08-31-2021","08-31-2021","No","Off the Charts (Highest)","Exceeded expectations","Just Right","No",,"Off the Charts (Highest)","Alumni",
"33","6660","14","7th","Female","Episcopal Day School (Augusta)","4","4","Friend","Augusta","GA",,"30909",,"CAL 3A","California 3","2","Enrolled","08-12-2021","08-12-2021",,"Yes","5","Exceeded expectations","Just Right","Yes","ICE, PNW, BCR, CRO","5","Enrolled","ICE 3B"
"34","3666","16","9th","Female","Academy of Richmond County","5","4","Friend","Augusta","GA",,"30909",,"ICE 3A","Iceland 3","2","Enrolled","08-12-2021","08-12-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Too Short","Yes","CHA; CRO; SPM","Off the Charts (Highest)","Enrolled","CHA 6B"
"35","9437","16","9th","Female","Baylor School TN","2","0","Friend","Chattanooga","TN",,"37405",,"BCR 3B","Belize+Costa Rica 3",,"Enrolled","02-04-2022","02-07-2022",,"No","5","Met expectations","Just Right","Yes","THA, HWI, FIJ, SAF",,"Enrolled","MAD 3"
"36","2326","18","11th","Male","The Seven Hills School","4","1","Friend","Cincinnati","OH",,"45208",,"CHA 4A","Chamonix 4",,"Enrolled","09-08-2021","02-09-2022","09-30-2021, 02-09-2022","No","5","Met expectations","Too Long","Not Sure","KEZ, MYS; KIL","4","Alumni",
"37","9393","16","9th","Male","Polytechnic School","1","0","Family","Pasadena","CA",,"91105",,"MID 3","MID3",,"Enrolled","01-26-2022","01-26-2022",,"Yes","5","Exceeded expectations","Just Right","Yes","NLT","5","Alumni",
"38","7148","17","10th","Female","The Spence School","1","1","I'm a sibling of a Moondance Alumni","New York","NY",,"10128",,"EGP 2A","Ecuador+Galapagos 2",,"Enrolled","08-17-2021","08-17-2021",,"Yes","5","Met expectations","Just Right","Yes","THA; HWI","4","Alumni",
"39","8452","15","7th","Female","MICDS","2","0","Word of Mouth","St. Louis","MO",,"63124",,"BCO 2B","British Columbia 2",,"Enrolled","09-09-2021","09-10-2021",,"No","5","Met expectations","Just Right","Yes","BCR","Off the Charts (Highest)","Enrolled","BCR 3B"
"40","7617","17","10th","Female","Charlotte Christian School","2","1","Friend","Charlotte","NC","United States","28270",,"MID 2","Midnight Sun 2",,"Enrolled","08-12-2021","08-13-2021",,"Yes","5","Met expectations","Just Right","Yes","MPU","Off the Charts (Highest)","Cancelled",
"41","6824","17","9th","Female","Charlotte Latin School","4","0","Friend","Charlotte","NC",,"28207",,"MAU 3A","Maui 3",,"Enrolled","08-12-2021","08-12-2021",,"No","5","Met expectations","Just Right","Yes","CRO, KEZ, DOL, CHA","Off the Charts (Highest)","Enrolled","CHA 3B"
"42","6148","17","9th","Male","MBA - Montgomery Bell Academy","3","1","Friend","Nashville","TN",,"37215",,"EGP 2B","Ecuador+Galapagos 2","1","Enrolled","08-12-2021","08-13-2021",,"Yes","4","Met expectations","Just Right","Yes","KEZ, CHA, THA","5","Enrolled","MAD 2"
"43","6750","19","11th","Male","MBA - Montgomery Bell Academy","3","1","Friend","Nashville","TN",,"37215",,"SLO 1A","Slovenia 1","1","Enrolled","08-12-2021","08-12-2021",,"Yes","Off the Charts (Highest)","Met expectations",,"Not Sure",,"4","Enrolled","KIL 2.5"
"44","8590","16","9th","Female","Broughton High School","2","0","Friend","Raleigh","NC",,"27613",,"BGW 3B","Big Wild 3",,"Enrolled","09-09-2021","09-09-2021",,"Yes","Off the Charts (Highest)","Met expectations","Just Right","Yes","HWI","5","Alumni",
"45","3298","20","12th","Female","Campolindo High School","2","1","Friend","Lafayette","CA",,"94549",,"KIL 2","Kilimanjaro 2","1","Enrolled","08-19-2021","08-19-2021",,"No",,,,,,"5","Alumni",
"46","4442","18","11th","Male","Tilden Prep","3","1","Friend","Lafayette","CA",,"94549",,"SLO 1B","Slovenia 1","1","Enrolled","08-19-2021","08-19-2021",,"No","5","Exceeded expectations","Just Right","Yes","MYS","4","Enrolled","CHA 4A"
"47","8086","16","9th","Female","Clarke Central High School","1","2","Family","Athens","GA",,"30606",,"PNW 1A","Pacific Northwest 1","1","Enrolled","08-17-2021","08-17-2021",,"No","5","Exceeded expectations","Just Right","Yes","NLT, MID, FIJ, THA","Off the Charts (Highest)","Alumni",
"48","7225","19","12th","Male","Athens Academy","2","2","Family","Athens","GA",,"30606",,"KIL 1","Kilimanjaro 1","1","Enrolled","08-17-2021","08-17-2021",,"No","Off the Charts (Highest)","Met expectations","Too Short","No",,"Off the Charts (Highest)","Alumni",
"49","6999","15","8th","Male","Ensworth School","4","0","Word of Mouth","Nashville","TN","United States","37205",,"MAU 2B","Maui 2",,"Enrolled","08-12-2021","08-12-2021",,"No","5","Exceeded expectations","Just Right","Yes","SAF, EGP","Off the Charts (Highest)","Enrolled","CRO 2B"
"50","8865","16","8th","Female","Norfolk Academy","2","0","Friend","Norfolk","VA",,"23505",,"BCO 3B","British Columbia 3",,"Enrolled","09-24-2021","10-11-2021",,"No","5","Exceeded expectations","Just Right","Yes","FIJ, BCR, MAU, HWI",,"Enrolled","BCR 3A"
"51","6676","14","7th","Male","Charlotte Country Day School","2","1","Friend","Charlotte","NC",,"28207",,"BCO 1B","British Columbia 1",,"Enrolled","08-12-2021","08-13-2021",,"Yes","4","Met expectations","Just Right","Not Sure","MAU, FIJ, HWI, PNW","Off the Charts (Highest)","Alumni",
"52","7932","15","9th","Female","Asheville High School","3","0","I'm a Moondance Alumni","Asheville","NC",,"28804",,"BGW 1B","Big Wild 1",,"Enrolled","09-09-2021","09-09-2021",,"Yes","5","Met expectations","Just Right","Yes","SAF","Off the Charts (Highest)","Enrolled","SPM 3A"
"53","9644","17","9th","Male","St. Marks School of Texas","1","1","Friend","Dallas","TX",,"75225",,"BCR 2A","Belize+Costa Rica 2","1","Enrolled","04-06-2022","04-07-2022",,"Yes","5","Met expectations","Just Right","No",,"Off the Charts (Highest)","Alumni",
"54","9645","15","8th","Male","St. Marks School of Texas","2","1","Friend","Dallas","TX",,"75225",,"BCR 2A","Belize+Costa Rica 2","1","Enrolled","04-06-2022","04-07-2022",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes",,"Off the Charts (Highest)","Enrolled","FIJ 2A"
"55","8864","16","9th","Female","Glenbrook North High School","1","1","Family","Northbrook","IL",,"60062",,"EGP 3B","Ecuador+Galapagos 3",,"Enrolled","09-23-2021","10-13-2021",,"No","4","Met expectations","Just Right","Not Sure",,"4","Alumni",
"56","5763","18","10th","Female","Ensworth School","2","1","Friend","Nashville","TN",,"37215",,"DOL 1B","Dolomites 1",,"Enrolled","08-16-2021","08-17-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","CHA","Off the Charts (Highest)","Cancelled",
"57","8853","15","8th","Male","Broughton High School","2","0","Word of Mouth","Raleigh","NC",,"27609",,"BGW 2B","Big Wild 2",,"Enrolled","01-07-2022","01-07-2022",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","MAU, DOL, BCR","Off the Charts (Highest)","Enrolled","MAU 2A"
"58","9335","16","9th","Male","Collegiate School","1","1","Friend","New York","NY",,"10014",,"MID 3","MID3","1","Enrolled","01-14-2022","01-17-2022",,"No","4","Met expectations","Just Right","Not Sure",,"4","Alumni",
"59","9374","16","9th","Male","Collegiate School","1","1","Friend","New York","NY",,"10014",,"DOL 2B","Dolomites 2","1","Enrolled","01-21-2022","01-21-2022",,"No","5","Met expectations","Just Right","Not Sure",,"Off the Charts (Highest)","Alumni",
"60","5953","17","9th","Female","Highland Park High School","2","0","Social Media","Dallas","TX",,"75225",,"FIJ 2B","Fiji 2",,"Enrolled","08-12-2021","08-12-2021",,"No","4","Met expectations","Just Right","Yes","THA, HWI","5","Alumni",
"61","5480","17","9th","Female","Deerfield Academy","2","2","I'm a Moondance Alumni","Atlanta","GA","United States","30327",,"FIJ 3B","FIJ 3","1","Enrolled","08-14-2021","08-16-2021",,"Yes","Off the Charts (Highest)","Met expectations","Just Right","Yes","THA","Off the Charts (Highest)","Alumni",
"62","6685","14","7th","Male","The Lovett School","4","2","I'm a Moondance Alumni","Atlanta","GA","United States","30327",,"BCO 3A","British Columbia 3","1","Enrolled","08-14-2021","08-16-2021",,"No","5","Met expectations","Just Right","Yes","FIJ","5","Enrolled","ICE 3B"
"63","8193","17","9th","Male","Atlanta Classical Academy","2","1","Friend","Atlanta","GA",,"30305",,"DOL 1B","Dolomites 1","1","Enrolled","08-19-2021","08-19-2021",,"No","5","Met expectations","Just Right","Yes","NLT, MID, KIL","5","Enrolled","NLT 1B"
"64","1477","18","11th","Male","Atlanta Classical Academy","3","1","Friend","Atlanta","GA",,"30305",,"CHA 1A","Chamonix Alps 1","1","Enrolled","08-12-2021","08-12-2021",,"No","5","Exceeded expectations","Too Long","Not Sure",,"Off the Charts (Highest)","Alumni",
"65","8700","13","7th","Male","Laguna Blanca School","1","1","Friend","Santa Barbara","CA",,"93110",,"COT 3A","Colorado Trail 3","1","Enrolled","09-09-2021","09-13-2021",,"No","3","Met expectations","Too Long","Not Sure",,"5","Cancelled",
"66","8108","17","10th","Male","Laguna Blanca School","2","1","Friend","Santa Barbara","CA",,"93110",,"FIJ 3A","FIJ 3","1","Enrolled","09-09-2021","09-13-2021",,"No","4","Met expectations","Too Long","Not Sure","KIL","3","Enrolled","BSB 2, DOL 3A"
"67","3930","19","11th","Female","St. Catherine's School","3","1","I'm a Moondance Alumni","Richmond","VA",,"23226","Yes","KEZ 2A","Kenya + Zanzibar 2",,"Enrolled","08-12-2021","08-13-2021",,"Yes","5","Met expectations","Just Right","No",,"4","Alumni",
"68","8524","16","9th","Male","Charlotte Latin School","1","1","Friend","Charlotte","NC",,"28207",,"EGP 2B","Ecuador+Galapagos 2",,"Enrolled","09-10-2021","09-13-2021",,"Yes","5","Met expectations","Just Right","Not Sure","FIJ","4","Alumni",
"69","6180","19","12th","Male","North Atlanta High School","1","1","Family","Atlanta","GA",,"30305",,"KEZ 1A","Kenya + Zanzibar 1",,"Enrolled","10-18-2021","10-18-2021",,"No","5","Met expectations","Just Right","Not Sure",,"3","Alumni",
"70","8744","16","10th","Female","Porter Gaud School","2","0","Friend","Johns Island","SC",,"29455",,"MPU 3","Machu Picchu 3",,"Enrolled","09-11-2021","02-04-2022","02-04-2022","Yes","4","Met expectations","Too Long","Yes","FIJ, SAF","2","Enrolled","KIL 2.5"
"71","9052","19","12th","Male","Glynn Academy","1","1","I'm a Moondance Alumni","Saint Simons Island","GA",,"31522",,"KEZ 2A","Kenya + Zanzibar 2",,"Enrolled","10-26-2021","02-23-2022","02-23-2022","No","5","Met expectations","Just Right","No",,"4","Alumni",
"72","5286","19","12th","Female","St. Frederick High School","2","2","Friend","Monroe","LA",,"71201","No","CHA 3A","Chamonix Alps 3",,"Enrolled","08-12-2021","08-12-2021",,"No",,,,,,"Off the Charts (Highest)","Alumni",
"73","9854","18","10th","Male","Athens Academy","1","0","I'm a sibling of a Moondance Alumni","Athens","GA",,"30605",,"CRO 2B","Croatia 2",,"Enrolled","06-21-2022","06-22-2022",,"No","5","Met expectations","Too Long","Not Sure","SAF, FIJ","5","Alumni",
"74","8654","17","10th","Female","Charlotte Latin School","2","0","Friend","Charlotte","NC",,"28226",,"DOL 3A","Dolomites 3",,"Enrolled","09-09-2021","04-20-2022",,"Yes","5","Exceeded expectations","Just Right","Yes","THA, KIL, CHA","4","Enrolled","KIL 1"
"75","8618","16","9th","Female","Collegiate School VA","3","1","Word of Mouth","Manakin-Sabot","VA",,"23103",,"BGW 1B","Big Wild 1",,"Enrolled","09-09-2021","10-04-2021",,"Yes","5","Exceeded expectations","Just Right","Yes",,"Off the Charts (Highest)","Enrolled","EGP 1A"
"76","5456","17","10th","Female","St. Marys School","2","1","Friend","Raleigh","NC",,"27608",,"EGP 1A","Ecuador+Galapagos 1",,"Enrolled","08-12-2021","08-12-2021",,"No","3","Met expectations","Just Right","Not Sure","HWI","5","Alumni",
"77","8504","17","9th","Female","Wesleyan School","2","0","Friend","Atlanta","GA",,"30350",,"BGW 1B","Big Wild 1",,"Enrolled","09-09-2021","09-10-2021","09-10-2021","Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","CHA, NOR, DOL, KIL","Off the Charts (Highest)","Enrolled","SLO 1A"
"78","8047","13","6th","Female","Rocky Mount Academy","3","3","I'm a Moondance Alumni","Rocky Mount","NC",,"27803","Yes","CAL 3B","California 3","1","Enrolled","08-12-2021","08-19-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","BCO","Off the Charts (Highest)","Enrolled","BCO 3B"
"79","4137","16","10th","Female","Virginia Episcopal School","5","3","I'm a Moondance Alumni","Rocky Mount","NC",,"27803","Yes","EGP 3A","Ecuador+Galapagos 3","1","Enrolled","08-12-2021","08-13-2021",,"No","4","Met expectations","Just Right","Yes","DOL","Off the Charts (Highest)","Enrolled","MAD 3"
"80","4308","18","11th","Female","Myers Park High School","2","0","Friend","Charlotte","NC",,"28211",,"MPU 2","Machu Picchu 2",,"Enrolled","08-17-2021","08-17-2021",,"No",,,,,,"5","Alumni",
"81","6746","16","9th","Female","Highland Park Middle School","1","1","Friend","Dallas","TX",,"75225",,"MAU 1A","Maui 1",,"Enrolled","08-19-2021","08-19-2021",,"Yes","Off the Charts (Highest)","Met expectations","Just Right","Not Sure","SAF, FIJ, EGP, BCR, CRO","Off the Charts (Highest)","Alumni",
"82","7359","17","9th","Female","Harpeth Hall School","2","1","Friend","Nashville","TN",,"37215",,"EGP 1B","Ecuador+Galapagos 1","1","Enrolled","08-12-2021","08-12-2021",,"No","5","Met expectations","Just Right","Yes","BCR, SAF, FIJ","Off the Charts (Highest)","Cancelled",
"83","7358","18","10th","Female","Harpeth Hall School","2","1","Friend","Nashville","TN",,"37215",,"SPM 1B","Spain + Morocco 1","1","Enrolled","08-12-2021","08-12-2021",,"No","4","Met expectations","Just Right","Yes","KIL, CHA","Off the Charts (Highest)","Cancelled",
"84","6145","17","9th","Female","St. Mary's Episcopal School","2","0","I'm a sibling of a Moondance Alumni","Memphis","TN",,"38111",,"EGP 2B","Ecuador+Galapagos 2",,"Enrolled","08-12-2021","08-12-2021",,"Yes","5","Exceeded expectations","Just Right","Yes","FIJ, THA, CHA","5","Alumni",
"85","2098","20","12th","Male","Mountain Brook High School","3","0","I'm a Moondance Alumni","Birmingham","AL",,"35223",,"KIL 1","Kilimanjaro 1",,"Enrolled","08-17-2021","08-17-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Too Long","No",,"Off the Charts (Highest)","Alumni",
"86","8497","18","10th","Female","New Hanover High School","2","0","Friend","Wilmington","NC",,"28403",,"FIJ 3A","FIJ 3",,"Enrolled","09-09-2021","11-04-2021",,"No","4","Met expectations","Just Right","Not Sure","HWI","4","Enrolled","KEZ 1A"
"87","7545","16","9th","Male","Myers Park High School","2","0","Word of Mouth","Charlotte","NC",,"28211",,"MID 3","MID3",,"Enrolled","09-09-2021","09-13-2021",,"No","Off the Charts (Highest)","Met expectations","Just Right","Yes","MPU","5","Enrolled","CHA 4B"
"88","8981","15","8th","Female","St. Catherine's School","2","0","Family","Richmond","VA",,"23226",,"MAU 2A","Maui 2",,"Enrolled","10-12-2021","01-24-2022",,"Yes","4","Met expectations","Just Right","Not Sure",,"3","Enrolled","FIJ 2B"
"89","8816","14","7th","Female","Summit Country Day","3","2","Friend","Cincinnati","OH",,"45208",,"CAL 2B","California 2","1","Enrolled","09-17-2021","09-20-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","MAU, ICE","Off the Charts (Highest)","Enrolled","BCR 1C"
"90","8815","14","7th","Female","Summit Country Day","3","2","Friend","Cincinnati","OH",,"45208",,"CAL 2C","California 2","1","Enrolled","09-17-2021","09-20-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Too Short","Yes","MAU","5","Enrolled","BCR 1B"
"91","7830","17","9th","Female","The Westminster Schools","1","1","I'm a Moondance Alumni","Atlanta","GA",,"30309",,"SAF 2B","South Africa 2",,"Enrolled","08-19-2021","08-19-2021",,"No","5","Met expectations","Just Right","Yes","THA, DOL, CRO","5","Alumni",
"92","8725","16","9th","Female","MICDS","1","0","Friend","St. Louis","MO",,"63124",,"BCR 2B","Belize+Costa Rica 2",,"Enrolled","09-10-2021","02-11-2022",,"No","Off the Charts (Highest)","Met expectations","Just Right","Yes","FIJ, THA","Off the Charts (Highest)","Alumni",
"93","5823","18","10th","Female","Cape Fear Academy","1","0","Family","Wilmington","NC",,"28405",,"HWI 1B","Hawaiian Islands 1",,"Enrolled","08-17-2021","08-17-2021",,"Yes","Off the Charts (Highest)","Met expectations","Just Right","Yes",,"Off the Charts (Highest)","Alumni",
"94","2233","18","11th","Female","Webb School of Knoxville","5","2","Friend","Walland","TN",,"37886",,"KIL 4","Kilimanjaro 4",,"Enrolled","08-12-2021","08-12-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","CHA, MYS","Off the Charts (Highest)","Enrolled","MYS 1"
"95","8683","15","8th","Female","Kentucky Country Day School","2","1","Family","Louisville","KY",,"40207",,"BGW 2B","Big Wild 2",,"Enrolled","09-09-2021","09-30-2021",,"Yes","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","FIJ, HWI, CRO","5","Enrolled","SPM 2A"
"96","9037","16","9th","Male","Tuscaloosa Academy","1","0","Word of Mouth","Tuscaloosa","AL",,"35406",,"MAU 3B","Maui 3",,"Enrolled","10-23-2021","10-28-2021",,"No","3","Exceeded expectations","Too Short","Not Sure",,"Off the Charts (Highest)","Alumni",
"97","7580","19","11th","Male","Westminster Christian School","2","0","Social Media","Coral Gables","FL",,"33156",,"CHA 4A","Chamonix 4",,"Enrolled","08-15-2021","08-16-2021",,"No","5","Met expectations","Just Right","Yes","KIL","3","Alumni",
